Nome EC,UF EC,Cidade EC,Logradouro EC,Desvio de Preço (%),Blacklist,Preço por Litro,Mercadoria
LAVA JATO DO GAUCHO,PE,RECIFE,"Área R MOISES CORREA DA SILVA, 4","1204,94%",🔴 Muito acima da média,50,Arla 32
POSTO AEROPORTO,ES,VITORIA,Rua AVENIDA ADALBERTO SIMAO NADE,"1111,55%",🔴 Muito acima da média,60,Lava-Rápido
POSTO FORMULA 1,PR,MARINGA,"Rua PC.  LUIZ GONZAGA 36, S/N","1111,55%",🔴 Muito acima da média,60,Lava-Rápido
LAVA JATO BRASLANDCAR LTDA - ME,DF,BRASILIA,"Rua CSG 13, S/N","970,21%",🔴 Muito acima da média,53,Lava-Rápido
PETROBULL,MG,ARAXA,"Rua AV AMAZONAS 308, S/N","922,22%",🔴 Muito acima da média,44.05,Etanol
AUTO POSTO 2000,MG,CAMPOS ALTOS,Área AV NILTON FERREIRA DE PAIV,"909,63%",🔴 Muito acima da média,50,Lava-Rápido
LAVA JATO DO GAUCHO,PE,RECIFE,"Área R MOISES CORREA DA SILVA, 4","909,63%",🔴 Muito acima da média,50,Lava-Rápido
POSTO ESQUINAO,MG,UBERABA,"Área RODOLFO LIRIO 480, 480, 480","909,63%",🔴 Muito acima da média,50,Lava-Rápido
R H CARDOSO SERV AUTOMOTORES ME,RJ,RIO DAS OSTRAS,AV ALCEBIADES S SANTOS   000000Q,"909,63%",🔴 Muito acima da média,50,Lava-Rápido
POSTO DON INACIO-BANDEIRA BRANCA,MG,GUAXUPE,AV DONA FLORIANA 1709,"786,45%",🔴 Muito acima da média,43.9,Lava-Rápido
AUTO POSTO G4 LTDA,SP,MAUA,"Rua AVENIDA JOAO RAMALHO, 150 4B","738,77%",🔴 Muito acima da média,41.53846153846154,Lava-Rápido
BORRACHARIA E LAVA JATO ESMERALD,MS,CAMPO GRANDE,"AVENIDA MANOEL DA COSTA LIMA, 14","707,70%",🔴 Muito acima da média,40,Lava-Rápido
POSTO DUAS COLUNAS,RJ,TRES RIOS,Rua AV. CONDESSA DE RIO NOVO 105,"606,74%",🔴 Muito acima da média,35,Lava-Rápido
AUTO POSTO DF 180,GO,AGUAS LINDAS DE GOIAS,Área QUADRA 8 SN LT 16 17 E 18 S,"177,77%",🔴 Muito acima da média,17.27,Gasolina Comum
MINUTUS COMBUSTIVEIS,RJ,CARMO,"Área RUA JOSE RIBEIRO DE MOURA,","61,28%",🔴 Muito acima da média,6.95,Etanol
BULL PETROLEO,MG,ARAXA,"Rua AV WILSON BORGES 605, S/N","56,64%",🔴 Muito acima da média,6.75,Etanol
POSTO ITAPERY,CE,FORTALEZA,"Rua AV. PRES COSTA E SILVA 2721,","56,33%",🔴 Muito acima da média,5.99,Arla 32
A P ANTONIO EMERICK,SP,SAO VICENTE,"Rua AV. ANTONIO EMMERICK 46, S/N","48,29%",🔴 Muito acima da média,6.39,Etanol
